the_geom,cartodb_id,the_geom_webmercator,park,link,lat,lng,project,fiscalyear,hex
0101000020E610000091B6F1272AE25DC02B6D718DCFEE4240,85,0101000020110F000012C8E289496169C1920D181596655141,Yosemite National Park,https://www.nps.gov/yose/index.htm,37.865709,-119.533823,Big Wall Bats: Engaging Climbers in Bat Protection in the Age of WNS,2018,#fa946e
0101000020E61000007D96E7C1DDD95EC0D865F84F370C4540,86,0101000020110F000005581808A9336AC17CAB3A95FDBD5341,Oregon Caves National Monument and Preserve,https://www.nps.gov/orca/index.htm,42.095438,-123.40416,"Assess the Efficacy of UV-C to Reduce Pd Reservoirs in Cave Floor Sediments While Maintaining and/or Restoring Microbial Diversity at 3 parks (LABE, ORCA, MACA) in the Southeast and Pacific West Regions",2018,#fa946e
0101000020E6100000F98381E7DEB653C08C65FA25E2034340,87,0101000020110F0000552F53134FBE60C15E645025487C5141,Blue Ridge Parkway,https://www.nps.gov/blri/index.htm,38.030339,-78.857355,Acoustic and Hibernacula Surveys for Bats Affected by WNS,2018,#fa946e
0101000020E610000075AF93FAB2EC54C09ACE4E06474D4240,88,0101000020110F0000307E133E72C561C1A0C9FAB643B95041,Cumberland Gap National Historical Park,https://www.nps.gov/cuga/index.htm,36.60373,-83.698424,Batty About Bats - Bat Education Blitz at Cumberland Gap National Historical Park,2018,#fa946e
0101000020E610000013D55B035BE254C0D1AFAD9FFED74140,89,0101000020110F0000D8080B53A9BC61C15767E236E93D5041,Great Smoky Mountains National Park,https://www.nps.gov/grsm/index.htm,35.687458,-83.536805,Repair Cave Gate and Support Bat Monitoring in Great Smoky Mountains National Park,2018,#fa946e
0101000020E610000013D55B035BE254C0D1AFAD9FFED74140,90,0101000020110F0000D8080B53A9BC61C15767E236E93D5041,Great Smoky Mountains National Park,https://www.nps.gov/grsm/index.htm,35.687458,-83.536805,Management Implications of Winter Emergence Behavior in Indiana Bat and Tricolored Bat in Great Smoky Mountains National Park,2018,#fa946e
0101000020E61000004AB89047708655C0C5E40D30F3974240,91,0101000020110F000022F50D69044862C1F3F6BCE390085141,Mammoth Cave National Park,https://www.nps.gov/maca/index.htm,37.187109,-86.100603,"Managing WNS Impacts at Mammoth Cave National Park: Intervention, Management, and Interpretation 2018-2019",2018,#fa946e
0101000020E61000009A931799801151C0562C7E53582B4640,92,0101000020110F00001D4410170AFE5CC1B2A22E36AB0C5541,Acadia National Park,https://www.nps.gov/acad/index.htm,44.338633,-68.273474,Monitor Myotis Bats to Inform Best Management Practices,2016,#000000
0101000020E61000001C2444F9028E64C0E44A3D0B427B5040,93,0101000020110F0000BE19D232077571C11EB66991CACC6241,Bering Land Bridge National Preserve,https://www.nps.gov/bela/index.htm,65.925906,-164.437863,"Determine Occupancy, Habitat, Roosting, and Migration Patterns for Bats in Alaska National Parks",2016,#000000
0101000020E61000009C6A2DCC420854C0986C3CD8628F4240,94,0101000020110F0000E67A94016F0361C1C1FB7BBC70FF5041,Blue Ridge Parkway,https://www.nps.gov/blri/index.htm,37.120204,-80.129077,Acoustic Surveys for Bats Affected by WNS ,2016,#000000
0101000020E61000000116F9F5433157C0A86E2EFEB6FD4140,95,0101000020110F00004D15867C85B263C1F45CB4466D655041,Buffalo National River,https://www.nps.gov/buff/index.htm,35.982147,-92.769773,"WNS Surveillance, Acoustic Bat Monitoring, Education, and Protection Project for FY2016",2016,#000000
0101000020E61000004F07B29E5A8051C06A1492CCEAF74440,96,0101000020110F0000028F120455BA5DC198522841C9A65341,Cape Cod National Seashore,https://www.nps.gov/caco/index.htm,41.936853,-70.005531,"Fall Migration, Swarming, and Hibernation Ecology of Northern Long-Eared Bats and Implication for Ameliorating Impacts of WNS",2016,#000000
0101000020E61000007D0569C6A2235AC079C9FFE4EF124040,97,0101000020110F00006E33245B353366C1DAA6AF452DDC4C41,Carlsbad Caverns National Park,https://www.nps.gov/cave/index.htm,32.147946,-104.55681,Do Western Bat Species Possess Natural Defense to WNS?,2016,#000000
0101000020E61000008274B169A55055C009C6C1A563784140,98,0101000020110F0000633618CF541A62C119C20CEBCDB44F41,Chickamauga & Chattanooga National Military Park,https://www.nps.gov/chch/index.htm,34.940541,-85.260096,Evaluating Bat Community Structure Post-WNS,2016,#000000
0101000020E610000075AF93FAB2EC54C09ACE4E06474D4240,99,0101000020110F0000307E133E72C561C1A0C9FAB643B95041,Cumberland Gap National Historical Park,https://www.nps.gov/cuga/index.htm,36.60373,-83.698424,1. Batty About Bats - Bat Education Blitz and Acoustic Monitoring ; 2. Parameterizing the Risks Associated with Park Activities and the Likelihood of Human-Vectored WNS Spread,2016,#000000
