ALPHA,Park Name,State,Region,Welcome Letter,CFP Park,Date Cert.,Acreage,Visitation,,
THIS,Theodore Roosevelt Island,DC,NCR,,1,2012," 	1,973 ", 	-00 ,,
THJE,Thomas Jefferson Memorial,DC,NCR,,1,2011," 	66,741 "," 	3,939,472 ",,
KAHO,Kaloko-Honokohau National Historic Park,HI,PWR,,,, 	1 ," 	8,727 ",,
KATM,Katmai National Park and Preserve,AK,AKR,,0,, 	21 ," 	5,179 ",,
VIVE,Vietnam Veterans Memorial,DC,NCR,,1,2011, 	690 ," 	56,591 ",,
KEMO,Kennesaw Mountain National Battlefield Park,GA,SER,,0,, 	181 ," 	1,273 ",,
KEWE,Keweenaw National Historic Park,MI,MWR,,0,, 	0 , 	-00 ,,
KIMO,Kings Mountain National Military Park,SC,SER,,0,," 	19,580 "," 	372,277 ",,
,Kitka National Historic Park,,,,0,," 	2,262 ", 	-00 ,,
WAMO,Washington Monument,DC,NCR,,1,2011, 	43 ," 	504,283 ",,
KNRI,Knife River Indian Village National Historic Park,ND,MWR,,0,, 	903 ," 	182,753 ",,
KOVA,Kobuk Valley National Park,AK,AKR,,0,, 	16 ," 	56,185 ",,
WOTR,Wolf Trap National Park for the Performing Arts,VA,NCR,10/19/11,1,2011, 	7 ," 	1,173 ",,
BOHA,Boston Harbor Island National Recreation Area,MA,NER,,1,Jan-11," 	8,382 "," 	397,330 ",,
LACL,Lake Clark National Park and Preserve,AK,AKR,,0,, 	675 ," 	20,717 ",,
CACO,Cape Cod National Seashore,MA,NER,,1,4/28/11," 	26,607 "," 	6,899,858 ",,
LAMR,Lake Meredith National Recreation Area,TX,IMR,,0,," 	11,560 "," 	89,961 ",,
DEWA,Delaware Water Gap National Recreation Area,NJ,NER,,1,2006, 	1 ," 	88,105 ",,
FIIS,Fire Island National Seashore,NY,NER,,1,2008, 	662 ," 	118,564 ",,
GATE,Gateway National Recreation Area,NJ,NER,,1,Jun-03," 	5,990 "," 	1,369,577 ",,
MAWA,Maggie L Walker National Historic Site,VA,NER,,1,Feb-14, 	23 ," 	41,746 ",,
LIBO,Lincoln Boyhood National Memorial,IN,MWR,,0,," 	43,311 ", 	-00 ,,
LIHO,Lincoln Home National Historic Site,IL,MWR,,0,, 	1 ," 	6,369 ",,
MABI,Marsh-Billings Rockefeller National Historic Park,VT,NER,,1,3/27/09, 	62 ," 	19,682 ",,
LIBI,Little Bighorn Battlefield,MT,IMR,,0,, 	792 ," 	87,980 ",,
LIRI,Little River Canyon,AL,SER,,0,, 	848 ," 	38,698 ",,
CHSC,Little Rock Central High School Nationat Historic Site,AR,MWR,,0,, 	45 ," 	2,795,661 ",,
LONG,Longfellow National Historic Site,MA,NER,,0,, 	0 , 	-00 ,,
LOWE,Lowell National Historic Park,MA,NER,,0,, 	178 ," 	96,852 ",,
SACN,Lower Saint Croix National Scenic River,MN,MWR,,0,, 	2 ," 	36,530 ",,
LYJO,Lyndon B Johnson National Historic Park,TX,IMR,,0,, 	141 ," 	551,385 ",,
NERI,New River Gorge National River,WV,NER,,1,4/7/10, 	1 ," 	6,721 ",,
MACA,Mammoth Cave National Park,KY,SER,,0,, 	643 ," 	21,711 ",,
RICH,Richmond National Battlefield Park,VA,NER,,1,Feb-14, 	40 ," 	21,233 ",,
BIHO,Big Hole National Battlefield,MT,PWR,,1,Jan-11, 	961 ," 	811,443 ",,
CABR,Cabrillo National Monument,CA,PWR,,1,," 	1,711 "," 	211,157 ",,
MALU,"Martin Luther King, Jr National Historic Site",GA,SER,,0,, 	34 ," 	288,597 ",,
MAVA,Martin Van Buren National Historic Site,NY,NER,,0,," 	72,186 "," 	948,789 ",,
CHIS,Channel Islands National Park,CA,PWR,,1,1/24/11," 	2,740 "," 	124,425 ",,
MEVE,Mesa Verde National Park,CO,IMR,,0,," 	7,127 "," 	111,882 ",,
CIRO,City of Rocks National Reserve,ID,PWR,,1,1/12/11, 	5 ," 	41,921 ",,
MIMA,Minute Man National Historic Park,MA,NER,,0,, 	83 ," 	35,756 ",,
